id,ten_dia_diem,mo_ta,loai_dia_diem,khu_vuc,dia_chi,tu_khoa,thoi_gian_hoat_dong,gia_ve,danh_gia,hinh_anh,Latitude,Longitude
562,文圣旅游区,位于清多区的河边旅游区，绿色清新，设有游泳池、网球场、咖啡馆和餐厅，适合周末与朋友家人放松。,生态旅游区,平盛郡,胡志明市平盛郡第22坊电边府路48/10号,"旅游, 游泳池",7:00 - 22:00,免费入场（服务收费）,4.2,https://cdn.guland.vn/files/16373742736198594164e19.jpeg,10.7981787,106.7157267
563,新港旅游区,西贡河边的旅游区，凉爽通风，适合公司聚会或家庭聚会。河景优美，餐厅服务快捷。,旅游区 - 河边餐厅,平盛郡,胡志明市平盛郡第25坊翁文谦路A100号,"美食, 餐厅",8:00 - 22:00,免费入场（服务收费）,4.1,https://imagevietnam.vnanet.vn/Upload/2015/2/10/DL02.jpg,10.7999642,106.7247441
564,平贵2旅游区,宽敞空间，拥有莲花湖、凉亭和乡土餐饮区，适合周末与家人出游。提供客房，但靠近水塘可能有蚊子。,生态旅游区,平盛郡,胡志明市平盛郡第28坊平贵路1147号,"家庭, 自然",7:00 - 21:00,"免费入场，自助餐250,000 - 300,000越南盾/人",4,https://owa.bestprice.vn/images/media/ba506784-9212-419b-b723-b2fdd089c0f1-6200cea8b6a92.png,10.8334024,106.7436933
565,平贵1旅游区,充满乡村气息的空间，绿树和湖泊营造放松氛围，适合家庭和朋友聚会，特别设有儿童游乐区。,生态旅游区,平盛郡,胡志明市平盛郡第28坊平贵路1147号,"放松, 乡村风情, 自然",7:00 - 21:00,"免费入场，自助餐约250,000越南盾/人",4.2,https://www.homepaylater.vn/static/6697418db28df6dff194ad7321d667a3/b3a59/canh_vat_dam_chat_que_tai_khu_du_lich_binh_quoi_1_cb0071af40.webp,10.8334024,106.7436933
566,巴椒翁陵,祭祀左军黎文阅的历史遗迹，建筑充满越南古典风格，氛围庄严肃穆，适合参观和了解文化。,历史遗迹 - 文化,平盛郡,胡志明市平盛郡第1坊武松路1号,"遗迹, 文化",7:00 - 17:00,免费,4.3,https://images2.thanhnien.vn/uploaded/congson/2020_10_03/7b_YYIN.jpg?width=500,10.801881,106.696907
567,巴椒市场,平盛郡的著名市场，美食丰富，二手服装价格实惠，气氛热闹，吸引大量人群。,传统市场,平盛郡,胡志明市平盛郡第1坊延红路40号,"美食, 购物, 市场",5:00 - 20:00,免费,4,"https://ik.imagekit.io/tvlk/blog/2023/07/cho-ba-chieu-2.jpg?tr=dpr-2,w-675",10.8016047,106.6988172
568,2PM Coffee,装饰可爱的咖啡馆，拥有多个拍照打卡角落。饮品口感不错，适合短时间聊天和拍照。,咖啡馆,富润郡,胡志明市富润郡第11坊阮文瑞路135/1号,饮品,8:00 - 22:00,"30,000 - 60,000越南盾",4.1,https://static.riviu.vn/image/2020/12/01/1098fb10cae0a6c4abb307fdc0d91429_output.jpeg,10.7972405,106.7178717
569,Amhaus Home Café,白绿色调的安静咖啡馆，提供书籍阅读，适合独自喝咖啡或学习。,书吧咖啡馆,平盛郡,胡志明市平盛郡第17坊阮九云路45/9A号,饮品,8:00 - 21:00,"35,000 - 65,000越南盾",4.3,https://gcs.tripi.vn/public-tripi/tripi-feed/img/473466hzV/image-amhaus-home-cafe-quan-ca-phe-chup-hinh-dep-voi-phong-cach-vintage-am-cung-tai-67-7-mieu-noi-quan-binh-thanh-164683587496297.jpg,10.7966374,106.6934161
570,JeJu Coffee,韩式风格咖啡馆，玻璃墙和绿色花园，拥有多个醒目拍照点和自然光线。,咖啡馆,新平郡,胡志明市新平郡第12坊阮明皇路54号,"饮品, 放松",7:00 - 22:00,"40,000 - 70,000越南盾",4.4,https://noithatkendesign.vn/storage/app/media/uploaded-files/review-jeju-coffee-4.jpg,10.8321862,106.7048973
571,丰蟹2餐厅,海鲜餐厅，顾客可自选活海鲜加工。空间通风，提前预订可享美丽河景。,海鲜餐厅,平盛郡,胡志明市平盛郡第28坊平贵路1019B号,"餐厅, 海鲜, 美食",10:00 - 22:00,"200,000 - 500,000越南盾/人",4.2,https://www.cotrang.org/public/images/tin_dang/7/50_nha-hang-phong-cua-bk-19.jpg,10.8237036,106.7317099
572,Le Steak餐厅,小型餐厅，建议提前预订。食物品质高，价格合理，牛排鲜嫩美味，酱料浓郁，服务快捷友好。,牛排餐厅,新平郡,胡志明市新平郡长山路26号,"美食, 餐厅",10:00 - 22:00,"100,000 - 250,000越南盾",4.5,https://kamereo.vn/blog/wp-content/uploads/2024/07/Le-Steak-1-768x480.jpg,10.8058249,106.7134792
573,旧岸旅游区,位于梵术河边的旅游区，环境宁静，绿树清凉，结合高雅餐厅，提供美味的纯正越南菜。,旅游区,第十二郡,胡志明市第十二郡盛禄坊何辉甲路39A号,"旅游, 餐厅",7:00 - 21:00,"328,000越南盾",4.3,https://media.mia.vn/uploads/blog-du-lich/khu-du-lich-ben-xua-2-1698502578.jpg,10.8530798,106.6779009
574,庆安修道院,拥有独特日本建筑风格的大型寺庙，环境宁静，带来安宁感。主要使用木材，雕刻工艺精湛。,寺庙 / 修道院,第十二郡,胡志明市第十二郡安富东坊1A国道3D号,"寺庙, 修道院, 宁静",5:00 - 21:00,免费,4.6,https://dulich3mien.vn/wp-content/uploads/2021/12/tu-vien-khanh-an-@tuilatamne895.jpg,10.8610819,106.7050888
575,鳄鱼村,绿色清新空间，模拟西贡乡村景象，设有鳄鱼养殖场、餐厅、纪念品店，出售鳄鱼相关产品。,参观 - 体验区,第十二郡,胡志明市第十二郡盛禄坊阮氏绍路,"鳄鱼村, 放松",8:00 - 20:00,免费,4.3,https://casauhoaca.com/images/2019/t09/khung-canh-lang-ca-sau-hoa-ca-vao-ban-ngay.png,10.8749907,106.6828275
576,红棕榈纪念区,纪念抗战历史，教育年轻一代爱国传统的庄严肃穆空间。,历史遗迹,第十二郡,胡志明市第十二郡盛春坊盛春52路12号,"遗迹, 历史, 抗战",24小时,免费,4.2,https://thpt-thanhloc-tphcm.edu.vn/uploads/images/40/images/324464761_2174408582747046_7054849878759156163_n.jpg,10.895885,106.680488
577,Moda House Coffee,复古风格咖啡馆，棕色调温暖，非常适合拍照和约会，空间温馨，拥有多个美丽拍照角落。,咖啡馆,第十二郡,胡志明市第十二郡盛禄15路129号,"咖啡, 饮品",7:00 - 23:30,"12,000 - 50,000越南盾",4,https://digiticket.vn/blog/wp-content/uploads/2021/08/cafe-quan-12-5-Ảnh-Moda-House-Coffee.jpg,10.8537396,106.6255914
578,暖咖啡馆,以复古风格设计的精美咖啡馆，周围环绕灯饰，营造温馨浪漫的氛围，让人倍感愉悦。,咖啡馆,第十二郡,胡志明市第十二郡安富东坊园丽路,"咖啡, 餐饮",7:00 - 22:00,"约25,000 - 45,000越南盾",4.8,https://noithatcaphe.vn/images/2020/10/08/y-tuong-thiet-ke-quan-cafe-via-he-moi-phong-cach3.png,10.8569847,106.6925344
579,三农农场,清新凉爽的自然环境，远离西贡的喧嚣，三农农场为您带来绝佳的放松时刻。此外，农场还提供多种娱乐活动，与家人朋友同游更加有趣。,咖啡馆,第十二郡,胡志明市第十二郡盛春坊第33组2区,"饮品, 放松",8:00 - 21:00,免费,4,https://get.wallhere.com/photo/3076x1363-px-farm-landscape-nature-1329473.jpg,10.8906426,106.6622703
580,48号广式米粉,提供多样化的广式米粉，选用优质食材，严格卫生，独特配方，打造美味浓郁的米粉。,餐饮,第十二郡,胡志明市第十二郡新政协坊48号,"广式米粉, 美食",7:00 - 21:00,"30,000 - 50,000越南盾",4.1,http://reviewvilla.vn/wp-content/uploads/2022/06/mi-quang-Phan-Thiet-1.jpg,10.869593,106.6479359
581,谭庄米粉烧烤,提供河内米粉烧烤及多种河内特色美食，以独特配方将河内风味带到西贡，令人印象深刻。,餐饮,第十二郡,胡志明市第十二郡新政协10路27号,"餐饮, 美食",5:00 - 11:00,免费,4.2,https://cdn.tgdd.vn/Files/2020/10/25/1302003/la-ca-nhung-quan-an-ngon-re-quan-12-de-thay-sai-gon-tuyet-voi-biet-bao-202210280030447782.jpg,10.8629332,106.631809
582,幸福西市场,市场提供多样化商品，包括服装、鞋子、包包、眼镜、手工艺品和家居用品，价格合理，吸引众多学生和劳动者购物。,市场,戈瓦郡,胡志明市戈瓦郡第5坊14号路,"餐饮, 美食, 购物",6:00 - 21:00,免费,4,https://blog.dktcdn.net/files/kinh-nghiem-di-cho-dem-hanh-thong-tay1.jpg,10.8349841,106.6582322
583,E-mart超市,复古色调的购物中心，装饰现代独特，每天吸引情侣和朋友前来拍照。,购物中心,戈瓦郡,胡志明市戈瓦郡第5坊潘文治路366号,"购物中心, 购物, 拍照",8:00 - 22:00,免费,4.3,https://dulich3mien.vn/wp-content/uploads/2022/01/Emart-Mall-Go-Vap.jpg,10.8231406,106.6934509
584,光中Vincom,现代购物中心，集购物、餐饮、游乐和娱乐于一体，适合各年龄段人群。,购物中心,戈瓦郡,胡志明市戈瓦郡第10坊光中路190号,"购物中心, 娱乐, 购物",9:00 - 22:00,免费,4.2,https://vinhomescentralparkt.com/wp-content/uploads/2023/09/Vincom-Quang-Trung.jpg,10.8292364,106.6726621
585,戈瓦文化公园,覆盖多年生树木、草坪和藤蔓的绿色空间，是居民喜爱的运动和社区文化活动场所。,公园,戈瓦郡,胡志明市戈瓦郡第17坊阮文量路,"公园, 自然, 散步",4:30 - 21:00,免费,4.4,https://cdn.tuoitre.vn/thumb_w/480/471584752817336320/2024/8/6/base64-1722962403053807243679.jpeg,10.8403492,106.6830601
586,戈瓦花卉村,拥有众多绿树和美丽花卉的游乐区，设有运动场、展览区和干净卫生间，适合周末家庭出游。,生态区 / 拍照,戈瓦郡,胡志明市戈瓦郡第5坊潘文治路,"自然, 拍照, 家庭",6:00 - 18:00,免费,4.1,https://flane.vn/wp-content/uploads/2022/12/quan-go-vap-choi-gi-10.jpg,10.841896,106.656146
587,和平音乐喷泉广场,西贡居民周末娱乐和文化交流的理想场所，夜晚体验西贡的独特魅力。,"娱乐, 游乐",戈瓦郡,胡志明市戈瓦郡第17坊阮文量路,"娱乐, 游乐, 音乐喷泉",17:00 - 22:00,免费,4.3,https://cdn3.ivivu.com/2020/12/Quang-truong-nhac-nuoc-Hoa-Binh-Square-ivivu-2.jpg,10.8361964,106.6710243
588,戈瓦浮庙,拥有占婆风格建筑的庙宇，周围覆盖绿色和红棕色砖瓦，雕刻精美的佛像。,"寺庙, 灵修",戈瓦郡,胡志明市戈瓦郡第5坊梵术河,"寺庙, 占婆建筑, 灵修",6:00 - 18:00,免费,4.5,https://dulich3mien.vn/wp-content/uploads/2021/12/mieu-noi-4.jpg,10.833002,106.6912603
589,杜绵园咖啡,绿色清新的装饰，拥有树木、灯光和湖泊，夜晚营造出璀璨的氛围。,"咖啡馆, 饮品",戈瓦郡,胡志明市戈瓦郡第10坊潘文治路7号,"园艺咖啡, 饮品, 打卡",7:00 - 23:00,"50,000 - 100,000越南盾",4.4,https://tripzone.vn/uploads/202104/13/04/092444-qua-n-cafe-n--i-ti--ng-go--v--p---ngu--n-fb.du-mi-n-garden-coffee--.jpg,10.8317552,106.674078
590,Country House Coffee,欧洲风格咖啡馆，木屋、白色围栏和藤蔓装饰，营造浪漫氛围。,"咖啡馆, 饮品",戈瓦郡,胡志明市戈瓦郡第10坊潘文治路18C号,"欧洲风格, 园艺咖啡, 浪漫",7:00 - 22:00,"40,000 - 90,000越南盾",4.3,https://tcbm.vn/wp-content/uploads/2022/01/country-house-coffee-1.jpg,10.8348609,106.6671607
591,Phen’s Coffee,怀旧西贡风格咖啡馆，可观看新山一机场飞机降落，适合学习小组和聊天。,"咖啡馆, 饮品",戈瓦郡,胡志明市戈瓦郡第10坊潘文治路26号,"怀旧西贡, 观飞机, 学习咖啡馆",7:00 - 22:30,"30,000 - 60,000越南盾",4.2,http://checkinvietnam.vtc.vn/media/20201109/images/013(1).jpg,10.8236785,106.6762533
592,法华寺,"以超过10,000件来自不同文化的古陶瓷闻名的寺庙，建筑充满灵性气息。","寺庙, 供奉",富润郡,胡志明市富润郡第4坊释广德路120/47号,"寺庙, 灵修, 陶瓷",6:00 - 18:00,免费,4.5,https://statics.vinpearl.com/chua-phap-hoa-1_1630420080.jpg,10.7863058,106.6814598
593,潘西庞美食街,美食街区，汇集从平民到高档的餐厅，提供多种国际风味美食。,"美食, 街头",富润郡,胡志明市富润郡第2坊潘西庞路,"餐饮, 餐厅, 美食街",8:00 - 23:00,"50,000 - 500,000越南盾",4.3,https://mia.vn/media/uploads/blog-du-lich/pho-am-thuc-phan-xich-long-buoi-toi-1707328944.jpg,10.7962913,106.6876742
594,溪柳游泳池,符合奥运标准的游泳池，设有成人池和儿童池，适合家庭和体育爱好者。,"游泳, 体育",富润郡,胡志明市富润郡第2坊花凤路1号,"游泳, 体育, 游泳池",5:30 - 20:00,"25,000 - 40,000越南盾",4.2,https://www.potech.com.vn/wp-content/uploads/2017/05/den-pha-led-ho-boi-rach-mieu-potech-1.jpg,10.7958177,106.6878838
595,第七军区体育馆,"举办大型活动、体育比赛和音乐会的中心，可容纳超过20,000人。",体育 - 娱乐,富润郡,胡志明市富润郡第9坊黄文术路202号,"活动, 体育, 体育馆",8:00 - 22:00,视活动而定,4.1,https://2.bp.blogspot.com/-AzH8maZ53B4/XKsJWqGEbfI/AAAAAAAAe1s/Ir4fdxEMAt0DfNCzF1fxAzMXc9_9WYjPgCPcBGAs/s1600/_DSC4409.jpg,10.8008743,106.6688994
596,嘉定公园,大型公园，绿树成荫，适合锻炼、运动、滑板和社区活动。,"自然, 公园",富润郡,胡志明市富润郡第9坊,"公园, 散步, 自然",4:30 - 21:00,免费,4.5,https://r2.nucuoimekong.com/wp-content/uploads/phong-canh-cong-vien-gia-dinh.jpg,10.8132439,106.6759091
597,Aeon Mall Tân Phú,一个综合性购物中心，集时尚、美食、电影院、娱乐、超市、高档餐厅等功能于一体。,购物中心，购物，娱乐,新平区,胡志明市新平区山基坊波宝新胜街30号,购物，娱乐，美食,09:00 - 22:00,免费,4.6,https://aeonmall-tanphuceladon-en.com/wp-content/uploads/2019/04/Perspective-Night.jpg,10.8014965,106.6174253
598,Lâu đài đá Café,一座欧式城堡风格的别墅，拥有绿色清新的庭院，豪华而独特，适合放松和拍照。,咖啡厅，饮品,新平区,胡志明市新平区协新坊托效街110号,城堡咖啡，放松，拍照打卡,07:00 - 22:00,"40,000 - 80,000越南盾",4.5,https://cdn.dealtoday.vn/img/s630x420/55914c8cb4ca47fda19279af348b19af.jpg?sign=Q3bFrvpGGBW57W-4gNKx2A,10.7684606,106.6271877
599,MYN Caffee,一家复古风格的咖啡厅，木质内饰，温暖的黄色灯光，拥有多个适合拍照的美丽角落。,咖啡厅，饮品,新平区,胡志明市新平区新贵坊戈油街143号,复古咖啡，放松，拍照打卡,08:00 - 22:00,"30,000 - 60,000越南盾",4.4,https://toplist.vn/images/800px/myn-coffee-1115387.jpg,10.818384,106.8052448
600,An Café,一家怀旧风格的咖啡厅，温暖的氛围，木质桌椅和怀旧的拍照角落。,咖啡厅，饮品,新平区,胡志明市新平区新盛坊成公街108号,经典咖啡，休息，拍照打卡,07:00 - 22:00,"25,000 - 50,000越南盾",4.3,https://bcp.cdnchinhphu.vn/334894974524682240/2022/7/22/co-bao-nhieu-cach-pha-cafe1-16584799681091678891784.jpg,10.8411272,106.823775
601,The Coffee House,现代化的空间，设有大窗户和木质高天花板，光线优美，适合工作、学习或聚会。,咖啡厅，饮品,新平区,胡志明市新平区新盛坊吕班碧街787号,连锁咖啡，现代，学习,07:00 - 22:30,"40,000 - 65,000越南盾",4.2,https://amis.misa.vn/wp-content/uploads/2021/12/The-Coffee-House-1536x1024.jpg,10.8209049,106.7724387
602,Cá viên chiên Nguyễn Xuân Khoát,一家以丰富菜单闻名的街头小吃店，空间宽敞，适合学生群体。,美食，街头小吃,新平区,胡志明市新平区新盛坊阮春括街102号,小吃，炸鱼丸，童年回忆,15:00 - 22:00,"15,000 - 50,000越南盾",4.1,https://static.riviu.co/image/2019/10/25/288a8a8b826ce74b21e23fe6b26fc8ba_output.jpeg,10.7890259,106.6334537
603,Hai Bà Mập - Bánh đúc Singapore,高品质的小吃，配料丰富，独特风味，价格亲民，适合学生。,美食，街头小吃,新平区,胡志明市新平区富寿和坊黎叔获街18号,小吃，米糕，学生,14:00 - 21:00,"10,000 - 30,000越南盾",4.2,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwbhntne19srac@resize_w800,10.7953839,106.6639073
604,Lẩu Tôm Càng Xiên,虾火锅，选用新鲜大虾，汤底浓郁，多种美味酱料，适合朋友聚会。,美食，火锅,新平区,胡志明市新平区富中坊运河街477号,虾火锅，海鲜，聚会,16:00 - 23:00,"80,000 - 150,000越南盾",4.4,https://syphu.com.vn/wp-content/uploads/2022/11/lau-tom-cang-xien-142-tran-nhan-ton-893955.jpg,10.7650732,106.665255
605,Cháo Ếch Ú,细腻的粥，美味的蛙肉，独特的酱料，深受年轻人喜爱。,美食,新平区,胡志明市新平区新贵坊戈油街166B号,蛙粥，晚餐，特色酱料,17:00 - 22:00,"40,000 - 70,000越南盾",4.3,https://alltop.vn/backend/media/images/posts/2074/Chao_ech_Singapore_Can_Anh-125451.jpg,10.7959313,106.6222138
606,Ốc nhớ Sài Gòn,一家以特色口味闻名的螺蛳店，菜单丰富，食材新鲜，价格合理，空间宽敞。,美食,新平区,胡志明市新平区富中坊郑廷重街136号,螺蛳，海鲜，小吃,16:00 - 23:00,"50,000 - 150,000越南盾",4.4,https://halotravel.vn/wp-content/uploads/2020/12/oc-nho-sai-gon-ocnhosg-2-1024x828.jpg,10.77495,106.6438903
607,Công viên Hoàng Văn Thụ,"胡志明市的一个绿色空间，面积达106,500平方米，位于市中心，靠近新山一机场，是许多人喜爱的目的地。",公园，自然，散步,新宾区,胡志明市新宾区2坊黄文受街,公园，散步，自然,07:00 - 22:00,免费,4.4,https://mytourcdn.com/upload_images/Image/Location/6_2_2015/9-cong-vien-hoang-van-thu-mytour-4.jpg,10.8010436,106.6650508
608,Chùa Viên Giác,带来宁静与平和的佛教建筑空间，古老而庄严。寺庙的曲顶设计与清晨薄雾或黄昏景色相融合，令人印象深刻。,寺庙，宗教,新宾区,胡志明市新宾区1坊裴氏春街193号,宗教,06:00 - 21:00,免费,4.7,https://mia.vn/media/uploads/blog-du-lich/vang-canh-chua-vien-giac-01-1700728556.jpeg,10.7944949,106.6647297
609,Chùa Phổ Quang,一座历史悠久的寺庙，拥有现代建筑风格，雕刻精美生动，营造出庄严而华丽的空间。,寺庙，宗教,新宾区,胡志明市新宾区2坊黄兰庆街21号,宗教,06:00 - 21:00,免费,4.6,https://luhanhvietnam.com.vn/du-lich/vnt_upload/news/02_2021/chua-pho-quang-tan-binh-dep.jpg,10.8050829,106.6686603
610,CGV Trường Sơn (CGV CT Plaza),越南最受欢迎的影院之一，提供多样化的电影体验，先进的技术以及独特的美食和服务。,购物中心，购物，娱乐,新宾区,胡志明市新宾区2坊长山街60A号,购物，娱乐,09:00 - 21:00,"75,000 - 165,000越南盾",4.2,https://www.zonevietnam.com/upload/restaurant/cgv-cinema-trng-sn-cgv-cinema-ct-plaza-saigon.jpg,10.8130556,106.6655556
611,Tiệm cà phê Hiên Cúc Trắng,一家带有怀旧特色的咖啡厅，宁静而温馨。优雅的白色设计，木质内饰和棕色、米色装饰品，营造出舒适放松的氛围。,咖啡厅，饮品,新宾区,胡志明市新宾区1坊新庆街25号,饮品，放松,08:00 - 22:00,"30,000 - 50,000越南盾",4.3,https://1phutsaigon.vn/wp-content/uploads/2023/05/tiem-ca-phe-hien-cuc-trang-10.jpg,10.7966219,106.6674769
612,Chùa Giác Lâm,一座拥有300多年历史的古老寺庙，经过多次修复仍保留传统建筑之美。宏伟的主殿设计精美，为游客带来独特体验。,寺庙，宗教,新宾区,胡志明市新宾区10坊乐隆君街565号,寺庙，宗教,05:00 - 20:00,免费,4.6,https://ticotravel.com.vn/wp-content/uploads/2022/10/chua-giac-lam-5.jpg,10.7787071,106.6491914
613,Công viên Tân Phước,新宾区最古老的公园之一，居民常选择这里锻炼或周末娱乐。周围有许多价格合理的街头小吃摊位，带来有趣的体验。,公园，自然，散步,新宾区,胡志明市新宾区9坊阮氏小街9A1号,公园，自然,00:00 - 24:00,免费,4.1,http://www.thtg.vn/wp-content/uploads/2019/08/vlcsnap-2019-08-28-08h47m15s484.jpg,10.7746157,106.6530185
614,Bảo Tàng Không Quân Phía Nam,胡志明市喧嚣中的一片宁静之地，缅怀过去的战争岁月，记录民族的伟大功绩。,遗迹，历史,新宾区,胡志明市新宾区4坊升龙街87号,历史,07:30 - 15:30,免费,4.1,https://static.vinwonders.com/production/bao-tang-phong-khong-khong-quan-top-banner.jpg,10.805263,106.6606578
615,Vincom Plaza Cộng Hoà,以全新舒适标准设计的购物中心，承诺带来新风格，成为满足美食、娱乐需求的首选目的地。,购物中心，购物，娱乐,新宾区,胡志明市新宾区4坊共和街17号,娱乐，购物,08:00 - 22:00,免费,4,https://top10tphcm.com/wp-content/uploads/2023/11/vincom-plaza-cong-hoa.jpg,10.8006026,106.6582188
616,Bảo tàng Lực lượng Vũ trang Miền Đông Nam Bộ,保存珍贵的军事装备和抗战文献，是了解民族伟大历史的迷人之地。,历史，战争,新宾区,胡志明市新宾区1坊黄文受街247号,历史，遗迹,07:00 - 16:30,免费,4.1,https://ongvove.com/uploads/0005/5428/2024/12/06/cac-hien-vat-noi-bat-tai-bao-tang-luc-luong-vu-trang-mien-dong-nam-bo-ongvove.jpg,10.8000048,106.6661782
617,Kimbap Hoàng tử,一家吸引年轻人的餐厅，尤其是价格实惠的韩式饭团。餐厅装饰精美，适合拍照。,美食,新宾区,胡志明市新宾区1坊黎文士街337/2号,韩式饭团，餐饮，年轻人,10:00 - 22:00,"30,000 - 80,000越南盾",4.3,https://toplist.vn/images/800px/kimbap-hoang-tu-328323.jpg,10.7931655,106.6660782
618,Moon Fast Food,一家深受韩式美食爱好者喜爱的餐厅，提供从韩式到越式菜肴的多样化菜单，价格合理，适合家庭。,美食,新宾区,胡志明市新宾区4坊春红街53号,韩式美食，餐饮，家庭,09:00 - 21:00,"35,000 - 100,000越南盾",4.2,https://list.vn/images/800px/moon-fast-food-1273216.jpg,10.7964859,106.6476463
619,Mì gà quay San San,餐厅空间宽敞舒适，菜肴多样，因美味的特色烤鸡面而吸引众多食客。,美食,新宾区,胡志明市新宾区5坊黄沙街1235号,烤鸡面，餐饮，特色菜,08:00 - 22:00,"40,000 - 90,000越南盾",4.4,https://tripzone.vn/uploads/202104/14/08/121630-mi--ga--quay-san-san---ngu--n-fb.luu-anh-khoa--.jpg,10.7965163,106.688465
620,Cháo sườn Ông Tạ,新宾区的最佳选择之一，粥香浓可口，配料丰富，价格合理。,美食,新宾区,胡志明市新宾区5坊范文海街402号,排骨粥，早餐，特色菜,06:00 - 11:00,"25,000 - 45,000越南盾",4.5,https://kanawa.vn/wp-content/uploads/2022/06/review-chao-suon-ong-ta.jpg,10.7897551,106.6610082
621,Heart Kitchen,提供多样化且美味的菜肴，价格合理，适合朋友聚会或周末用餐。,美食,新宾区,胡志明市新宾区14坊同登街234号,美食，聚会，美味,10:00 - 22:00,"40,000 - 120,000越南盾",4.3,https://i.pinimg.com/originals/98/77/0d/98770d651d2be965330eb08500baff1e.jpg,10.7883939,106.6428423
622,AEON MALL Bình Tân,平坦区领先的购物和娱乐中心，拥有数百家商店，提供多样化的美食、饮品和娱乐设施，如电影院和游乐区。,购物中心，购物,平坦区,胡志明市平坦区平治东B街17A号路1号,购物，娱乐，游乐,08:00 - 22:00,"50,000 - 5,000,000越南盾",4.6,https://tripzone.vn/uploads/202104/13/04/061049-aeon-mall-bi-nh-t-n---ngu--n-internet--.jpg,10.7427497,106.6119309
623,Công viên Gia Phú,一个理想的绿色空间，拥有清新的自然环境，设有儿童游乐区和适合家庭或朋友聚会的野餐空间。,公园，自然，散步,平坦区,胡志明市平坦区山基坊CN1路,自然，公园,全天开放,"10,000 - 500,000越南盾",4.2,https://global-uploads.webflow.com/60af8c708c6f35480d067652/60d702e6c7f94f2a0c433896_cong-vien-gia-phu.png,10.8063594,106.6077293
624,Chùa Huệ Nghiêm,拥有宁静的空间和广阔的绿色庭院，为您带来内心的平静与安宁。,寺庙,平坦区,胡志明市平坦区安乐A坊杜能节街KP2号,寺庙，宗教,全天开放,免费,4.7,https://halotravel.vn/wp-content/uploads/2022/01/chua-hue-nghiem-binh-tna-768x498.jpeg,10.8490445,106.7596651
625,Hồ câu Út Phương,一个理想的娱乐场所，适合喜欢体验乡村钓鱼乐趣的男士。经常举办钓鱼比赛，增添热闹和乐趣。,自然，娱乐,平坦区,胡志明市平坦区新造A坊1号运河78b号,娱乐，家庭，自然,全天开放,"50,000 - 300,000越南盾",3.8,https://alltop.vn/backend/media/images/posts/1813/Ho_cau_Thanh_That-127164.jpg,10.755154,106.5712774
626,TiniWorld Bình Tân,提供多种体能和智力游戏，tiNiWorld是孩子们的欢乐天堂！,游乐,平坦区,胡志明市平坦区11街区17A号路1号,儿童，游乐,10:00 - 21:00,"20,000 - 300,000越南盾",4.2,https://khuvuichoi.com/wp-content/uploads/2018/12/tiniworld-parkson-tan-binh-hinh-1.jpg,10.7429025,106.612285
627,King Koi Coffee,一个拥有迷人空间的娱乐和放松场所，设有生动的锦鲤池，独特的设计，搭配创意美味的饮品。,咖啡厅,平坦区,胡志明市平坦区平治东B坊7号路118号,饮品，放松,08:00 - 22:00,"50,000 - 200,000越南盾",4.1,https://static.muanhanh.com/images/user/47/hochiminh/king-koi/62fa659b-ef0b-470e-adca-054eacab8faa.jpeg,10.8464316,106.7985201
628,Chùa Từ Hạnh,一个宁静的地方，让您在忙碌的日子后放松心灵。,寺庙，宗教,平坦区,胡志明市平坦区安乐坊经阳王街574号,宗教,全天开放,免费,4.6,https://lh3.googleusercontent.com/pw/ACtC-3dQyWCvhmcccNX4U86vBeAwW3BR3UbrgAfnORCs3cC2n869RGESGUCRn_LRfKJbv6mzk73wznln8QlKkt261S_ZgeMhCfd1FP92PlEd4fyvYeUp6juwbsAtryW61iRHZdYdGOu7CvD_nQKMD_3X-PtG=w978-h652-no,10.7314979,106.6098408
629,Color Me Center,体验有趣的游戏、美味的食物、吸引人的饮品和优雅的阅读空间。,餐厅，咖啡厅，游乐,平坦区,胡志明市平坦区富顺坊安阳王街231F号,娱乐，餐饮,06:00 - 22:00,"50,000 - 500,000越南盾",4.5,https://i.ytimg.com/vi/J-UPVaD-qCk/oardefault.jpg?sqp=-oaymwEkCJUDENAFSFqQAgHyq4qpAxMIARUAAAAAJQAAyEI9AICiQ3gB&rs=AOn4CLB6k1F9TzQFl1WQP-4Hx5HSqhCgqw,10.7288801,106.6197134
630,Big C An Lạc,平坦区最大的购物和娱乐中心，提供高品质的产品、价格实惠的美食和多样化的新鲜菜肴，值得与家人和朋友一同享受。,购物中心,平坦区,胡志明市平坦区5街区国道1A号1231号,购物，娱乐,08:00 - 22:00,"50,000 - 1,000,000越南盾",4.5,https://www.bigc.vn/files/images/store/big-c-anlac.jpg,10.7303369,106.6038563
631,Chợ An Lạc,平坦区最古老、最繁华的市场，体验特色美食，如卷饼、鲶鱼面等。,市场，购物，美食,平坦区,胡志明市平坦区安乐坊经阳王街357号,市场，购物,全天开放,"50,000 - 1,000,000越南盾",4,https://maisonoffice.vn/wp-content/uploads/2024/04/8-cho-an-lac-la-mot-trong-nhung-ngoi-cho-lau-doi-tai-tphcm.jpg,10.7420762,106.6199974
